DroneID,Record,Citizen,Message,PeaceScore,Country,City,Latitude,Longitude,Battery,Alert
4,THA-6196,Merrie Corilla,Eius labore est labore etincidunt consectetur quisquam.,6,Thailand,Kaeng Khoi,14.5864,100.9967,67,0
5,AUS-3561,Elbertina Prober,Etincidunt quisquam ipsum voluptatem neque sed quaerat numquam.,6,Australia,Richmond,-33.5983,150.7511,2,0
7,USA-3359,Dorothy Rosalba,Ut consectetur adipisci voluptatem eius ipsum eius.,8,United States,Mack,39.1503,-84.6792,49,0
5,NGA-19860,Giustina Minetta,Neque porro eius adipisci dolore consectetur non.,8,Nigeria,Umuahia,5.5333,7.4833,99,0
4,USA-15594,Joeann O'Neill,Voluptatem quisquam ipsum consectetur tempora labore tempora.,5,United States,Medway,42.1535,-71.4291,72,0
5,CAN-13033,Giustina Keily,Modi quisquam dolorem quiquia est dolor aliquam non.,10,Canada,La Pêche,45.6833,-75.9833,68,0
4,MYS-16657,Imojean Ivens,Magnam voluptatem labore porro amet tempora sit.,5,Malaysia,Shah Alam,3.0833,101.5333,13,0
8,XKS-4399,Emilia Pettiford,Velit voluptatem adipisci quaerat consectetur dolore est.,6,Kosovo,Novobërdë,42.6,21.4333,31,0
4,IND-6812,Natka Naor,Amet labore tempora labore sit amet.,5,India,Malaut,30.19,74.499,59,0
5,GNQ-7347,Charissa Kravits,Quisquam ipsum quiquia tempora quaerat eius etincidunt velit.,7,Equatorial Guinea,Mongomo,1.6287,11.3168,21,0
8,USA-3557,Tina Leffen,Quisquam aliquam non neque modi dolore.,5,United States,Largo,38.88,-76.8289,69,0
7,USA-1964,Consuela Jethro,Numquam aliquam velit porro.,3,United States,Smiths Station,32.5284,-85.096,3,1
4,ARG-13263,Tobe Stover,Adipisci eius quaerat modi quaerat quaerat tempora.,6,Argentina,Alto Río Senguer,-45.0419,-70.8234,93,0
5,IRN-17607,Marsiella Zina,Dolor ut velit ut numquam etincidunt modi.,7,Iran,Būkān,36.5208,46.2117,100,0
5,MRT-15020,Selia Penelopa,Amet ut aliquam labore modi ut velit sit.,4,Mauritania,Aioun,16.6667,-9.6167,69,0
4,BFA-3068,Cecile Bakerman,Quisquam aliquam non numquam dolore adipisci.,5,Burkina Faso,Yako,12.954,-2.263,85,0
1,USA-15754,Tabbatha Zitvaa,Dolorem amet labore voluptatem adipisci modi aliquam quaerat.,7,United States,Litchfield,41.7413,-73.1931,89,0
7,USA-6387,Vinita Myrilla,Quisquam quiquia amet est sit numquam.,9,United States,Pittsburg,37.4129,-94.6984,4,0
2,USA-8175,Grier Uund,Voluptatem quiquia labore velit velit consectetur.,9,United States,Stratmoor,38.7732,-104.7787,96,0
1,BGR-15719,Emelina Rona,Dolorem dolor dolore porro dolore etincidunt neque.,3,Bulgaria,Novi Pazar,43.35,27.2,45,0
2,RUS-9963,Layla Ashok,Ipsum aliquam quaerat dolore non dolorem consectetur eius.,6,Russia,Nizhneudinsk,54.9,99.0167,95,0
8,USA-18471,Hannis Alwin,Quiquia non voluptatem sed velit est.,5,United States,Sachse,32.9726,-96.5793,3,0
6,ZAF-2199,Desirae Lorain,Voluptatem ipsum quaerat sit non dolorem quisquam sit.,7,South Africa,Brits,-25.6167,27.7667,20,0
2,USA-14064,Catharine Tillford,Numquam ut ut neque.,6,United States,Live Oak,36.986,-121.9804,1,0
7,CHN-19206,Diena Vittoria,Magnam non labore voluptatem labore dolore porro.,9,China,Huichang,34.9136,112.7852,37,0
2,NGA-5441,Dennie Cassius,Adipisci neque etincidunt ut sit porro consectetur dolor.,8,Nigeria,Zaria,11.0667,7.7,42,0
8,RUS-14588,Lanae Kazimir,Sed est modi neque etincidunt labore eius.,6,Russia,Dudinka,69.4,86.1833,4,0
3,GBR-18546,Meriel Dituri,Ipsum dolorem ipsum non modi consectetur aliquam.,5,United Kingdom,Littleport,52.4568,0.3046,69,0
3,GBR-12804,Priscilla Adrienne,Tempora modi aliquam quaerat eius modi velit.,7,United Kingdom,Ealing,51.5175,-0.2988,12,0
8,USA-3042,Ketti Leler,Numquam velit sit velit.,5,United States,Sarasota,27.3386,-82.5431,86,0
6,CHN-12681,Gui McAdams,Non velit consectetur aliquam eius ipsum consectetur.,8,China,Jiangjiafan,31.0304,112.1,92,0
7,IRL-13721,Taffy Pelagias,Ipsum aliquam numquam sed.,5,Ireland,Drogheda,53.7139,-6.3503,63,0
3,JPN-13769,Thalia Teryn,Dolorem quisquam numquam est amet neque adipisci.,6,Japan,Otofuke,42.9942,143.1981,38,0
1,USA-2198,Ruthe Uird,Dolore est tempora dolorem est.,6,United States,Norristown,40.1224,-75.3398,43,0
3,BFA-7682,Roberta Taima,Aliquam amet non porro aliquam.,6,Burkina Faso,Boulsa,12.657,-0.569,14,0
8,MEX-16402,Wileen Gino,Quiquia est dolorem porro ipsum tempora voluptatem.,7,Mexico,Nopala de Villagran,20.2528,-99.6433,1,0
7,USA-5698,Clo Susannah,Etincidunt labore quisquam aliquam.,7,United States,Sierra Vista,31.563,-110.3153,63,0
1,IND-15734,Iseabal Dielu,Labore est non non quiquia eius non eius.,6,India,Jodhpur,26.2918,73.0168,18,0
5,CHE-1027,Gisela Monaco,Est ipsum voluptatem quiquia dolore.,7,Switzerland,Langenthal,47.2153,7.7889,3,0
2,ITA-7078,Cathie Toni,Est sed ut voluptatem eius adipisci quisquam.,8,Italy,Bergamo,45.695,9.67,73,0
2,ZMB-15538,Shaylyn Amadas,Non ipsum modi ipsum aliquam dolorem modi tempora.,4,Zambia,Zambezi,-13.54,23.1099,75,0
1,USA-4524,Jasmina Rooney,Amet sit ipsum neque dolore.,6,United States,Camillus,43.0539,-76.3057,36,0
8,USA-893,Johna Fairweather,Sit sit numquam etincidunt est dolor.,7,United States,Crowley,32.5781,-97.3585,39,0
6,LUX-6978,Fayre Kristi,Magnam porro dolore labore adipisci tempora aliquam.,7,Luxembourg,Mersch,49.7489,6.1061,60,0
6,GBR-17223,Rochette Nickola,Non adipisci est amet quisquam modi est adipisci.,5,United Kingdom,Wellingborough,52.2939,-0.6964,73,1
6,USA-33,Lyssa Stephie,Est ut est non dolorem adipisci sit numquam.,7,United States,Crestwood Village,39.9568,-74.3524,68,0
7,RUS-7745,Jsandye Cleavland,Est velit quisquam sed.,10,Russia,Makarov,48.627,142.78,74,0
4,EST-662,Starla Mandler,Porro dolorem tempora quiquia porro.,6,Estonia,Saue,59.3231,24.5622,52,0
7,CAN-6172,Jobi Tamsky,Sit modi labore adipisci.,5,Canada,Joliette,46.0167,-73.45,45,0
8,GBR-7139,Sophia Claudine,Adipisci adipisci porro quaerat consectetur.,5,United Kingdom,Carlisle,54.891,-2.944,66,0
8,GBR-14240,Tomasina Jerold,Consectetur non aliquam neque tempora quaerat est.,5,United Kingdom,Hengoed,51.65,-3.23,81,0
6,BIH-3236,Regina Christal,Porro amet adipisci aliquam.,7,Bosnia And Herzegovina,Vareš,44.1644,18.3283,88,0
3,DEU-17444,Bernie Jammal,Voluptatem neque porro aliquam quaerat.,5,Germany,Auerbach,49.692,11.6333,97,1
7,PER-18140,Zia Buffum,Consectetur sit sit ut tempora.,7,Peru,Güeppí,-0.1166,-75.23,98,0
2,USA-5733,Oralee Peg,Dolore sed est modi amet numquam etincidunt non.,7,United States,Fishkill,41.5129,-73.9271,17,0
1,CHN-12531,Celene Redmond,Consectetur non dolore magnam.,2,China,Anshun,26.2456,105.934,77,1
6,CAN-5621,Blake Leary,Eius voluptatem aliquam amet amet.,4,Canada,Ritchot,49.6647,-97.1167,88,0
4,USA-15966,Bee Travax,Quisquam aliquam tempora eius ipsum amet dolor quiquia.,6,United States,Greenville,41.88,-71.5549,42,0
1,USA-12226,Gloria Ehrman,Quaerat amet dolor voluptatem quisquam quaerat dolor.,7,United States,Clarence,43.0196,-78.6375,80,0
6,FRA-18986,Rivalee Edmund,Dolore velit amet dolore etincidunt.,6,France,Évreux,49.02,1.15,24,0
6,CHN-8328,Ekaterina Tice,Porro ipsum dolore dolor.,7,China,Taihe,30.8706,105.3784,78,0
2,IND-17965,Gusty Dominy,Quisquam tempora etincidunt porro ipsum sed.,6,India,Chikhli,20.75,73.07,15,0
3,BRA-9277,Kathy Kristi,Sit etincidunt voluptatem eius etincidunt quaerat sed.,6,Brazil,Campina do Monte Alegre,-23.4253,-48.4772,72,0
7,USA-19769,Lita Verger,Magnam eius etincidunt aliquam tempora voluptatem quisquam neque.,4,United States,Lisle,41.7918,-88.0888,11,0
2,USA-3067,Verla Nicoline,Amet amet non est velit adipisci.,1,United States,Fort Drum,44.0451,-75.7847,14,1
4,USA-4167,Lenna Firmin,Neque quiquia ipsum quiquia consectetur.,6,United States,Nebraska City,40.6762,-95.8613,1,0
6,ROU-12247,Di Nikaniki,Tempora ut dolore etincidunt eius.,5,Romania,Bujor,45.8667,27.9,89,0
2,JPN-1361,Fayre Ledah,Magnam modi amet adipisci consectetur sit dolor numquam.,8,Japan,Sagae,38.3811,140.2761,86,0
2,USA-11685,Abbie Sperling,Dolor sit est magnam.,1,United States,Claiborne,32.5379,-92.1981,17,1
1,JPN-634,Jinny Agle,Dolor amet sit ut sed aliquam numquam.,7,Japan,Higashi-Matsuyama,36.0422,139.4,15,0
6,USA-14292,Liana Cookie,Tempora eius amet eius.,7,United States,Albertville,45.2364,-93.6618,92,0
7,USA-11712,Melisent Kesley,Magnam ipsum non quisquam.,4,United States,Greenville,43.1797,-85.2533,51,0
6,MEX-9516,Latisha Oneida,Numquam dolor dolore quaerat tempora porro.,7,Mexico,Huatabampo,26.8304,-109.63,40,0
7,USA-13494,Kary Xerxes,Sit eius est dolore porro.,7,United States,Long Branch,40.2965,-73.9915,68,0
5,USA-4722,Allyce Brodench,Amet adipisci consectetur consectetur modi numquam porro modi.,6,United States,Byron,44.0379,-92.6411,1,0
7,GBR-3452,Merci Briney,Ipsum ut numquam velit.,6,United Kingdom,Swallownest,53.3623,-1.3251,69,0
7,MLI-2653,Dale Konyn,Quaerat sit dolor aliquam voluptatem.,4,Mali,Gao,16.2666,-0.05,38,0
4,BRA-6369,Teriann Sabella,Quaerat porro quiquia labore etincidunt aliquam dolore.,7,Brazil,Aracati,-4.5617,-37.7697,33,0
8,UZB-11223,Ricky Rillings,Consectetur quisquam quiquia dolorem.,5,Uzbekistan,Vobkent Shahri,40.0233,64.5139,16,0
3,CHN-10808,Robinia Linskey,Ut porro neque voluptatem consectetur quiquia porro.,5,China,Shangqiu,34.4504,115.65,37,0
3,DEU-14654,Dennie Ilka,Consectetur est etincidunt quisquam ipsum consectetur.,5,Germany,Leinefelde,51.3833,10.3333,56,0
7,CHN-18816,Hermione Frodi,Velit quiquia modi eius est ipsum.,8,China,Zhaodong,46.0635,125.9773,48,0
2,JPN-18403,Berta Sholley,Velit adipisci numquam quiquia quaerat quaerat.,5,Japan,Ōtsuchi,39.3597,141.9064,75,0
3,FRO-4637,Halette Havens,Tempora velit velit numquam.,8,Faroe Islands,Sandur,61.8344,-6.8171,97,0
8,BEN-4492,Arlena Ioab,Magnam non dolor porro.,4,Benin,Ouidah,6.3604,2.09,53,0
1,USA-11805,Catrina Pierette,Neque est dolore non dolore velit sed est.,6,United States,Carmichael,38.6337,-121.323,37,0
4,BRA-10527,Angela Sacken,Labore est voluptatem eius est dolorem magnam voluptatem.,5,Brazil,Resende,-22.4689,-44.4469,42,0
7,CAN-10908,Sara-Ann Girardo,Tempora quiquia dolore ut est consectetur.,6,Canada,Brighton,44.1222,-77.7642,67,0
2,USA-8012,Margarette Donoghue,Modi neque dolorem porro amet numquam amet ut.,7,United States,Orange Beach,30.2941,-87.5851,22,0
5,USA-16292,Lulita Elisha,Ut aliquam velit non ut labore sit.,6,United States,Belmont,42.396,-71.1795,36,0
4,THA-8299,Gaylene Rese,Aliquam eius amet adipisci est magnam sed.,5,Thailand,Thoen,17.6118,99.216,1,0
7,SRB-13629,Sharai Ammann,Est sit quiquia adipisci dolorem est sit.,7,Serbia,Smederevska Palanka,44.3655,20.9587,30,0
5,USA-15374,Yvonne Eiser,Non voluptatem voluptatem ipsum numquam.,6,United States,Long Branch,38.8302,-77.2713,52,0
8,GBR-6698,Roberta Callista,Tempora quaerat adipisci magnam dolore consectetur.,6,United Kingdom,Radlett,51.685,-0.318,39,0
6,GBR-13115,Delilah Frodi,Amet quaerat modi magnam quiquia sit est dolor.,8,United Kingdom,Burghfield,51.411,-1.042,40,0
6,MEX-44,Jean Cordi,Modi non quiquia eius dolorem quisquam.,5,Mexico,Tlapanaloya,19.9358,-99.1019,36,0
3,LVA-10968,Sissy Tamsky,Dolore etincidunt ipsum dolorem sed.,4,Latvia,Vecumnieki,56.6061,24.5223,95,0
6,CUB-11619,Catrina Alice,Quaerat neque quisquam ipsum adipisci amet.,8,Cuba,Varadero,23.1394,-81.2861,79,0
4,USA-10123,Lolita Sheedy,Est dolor dolorem numquam.,5,United States,Flowood,32.3359,-90.0802,76,0
6,IND-892,Mara Madox,Sed labore adipisci sit numquam dolore ut dolore.,7,India,Jaisalmer,26.9167,70.9167,21,0
2,MEX-11184,Aigneis Iaverne,Non velit labore quisquam.,6,Mexico,Chichihualco,17.655,-99.674,12,0
7,VEN-12100,Concettina Saunderson,Quiquia quisquam quiquia velit.,9,Venezuela,Los Teques,10.3411,-67.0406,95,0
5,USA-18294,Ardeen Ricarda,Non dolore quisquam sed non modi etincidunt.,8,United States,Nevada,37.8445,-94.3492,91,0
5,KOR-11366,Emilia Iphlgenia,Neque est ut quisquam quiquia velit ipsum dolor.,7,"Korea, South",Busan,35.1,129.0403,42,0
4,CHN-8835,Renie Hermes,Quisquam dolor non adipisci quiquia ipsum.,8,China,Guangzhou,23.1288,113.259,64,0
8,BRA-2268,Jennica Roumell,Sed velit sed numquam labore adipisci.,6,Brazil,Três Lagoas,-20.7876,-51.7034,60,0
1,PRT-12262,Roslyn Jaylene,Quiquia non numquam quaerat est dolore est voluptatem.,5,Portugal,Portalegre,39.3167,-7.4167,3,1
6,USA-6517,Cissiee Odysseus,Non tempora sit consectetur aliquam velit labore.,8,United States,Castroville,36.765,-121.7535,21,0
4,DEU-7343,Brietta Bouchard,Porro voluptatem labore dolorem est dolore.,7,Germany,Oebisfelde,52.4333,10.9833,25,0
1,RUS-6018,Katharina Briney,Etincidunt quiquia voluptatem non labore consectetur.,7,Russia,Bogdanovich,56.7833,62.05,51,0
2,SRB-6155,Daphne Tannie,Ipsum sed quiquia non magnam.,5,Serbia,Sjenica,43.2667,20.0,72,0
1,BRA-13590,Hildegaard Lipson,Eius dolore sit quiquia numquam tempora dolore quaerat.,7,Brazil,Dourados,-22.23,-54.81,65,0
1,DEU-19858,Tierney Nisbet,Ipsum sed dolor labore.,8,Germany,Gütersloh,51.9,8.3833,73,0
8,BRA-9120,Anica Hermes,Tempora est quiquia quiquia magnam quaerat.,8,Brazil,Irapuru,-21.5708,-51.345,18,0
6,SVN-4427,Sallie Hutchison,Quiquia neque etincidunt labore.,7,Slovenia,Kobarid,46.2471,13.5796,10,0
6,USA-12096,Sheelagh McGrody,Adipisci quiquia voluptatem ipsum.,4,United States,West Samoset,27.4702,-82.5552,65,1
1,USA-6858,Julieta Oster,Amet amet dolore ut labore neque ut magnam.,5,United States,Upper Allen,40.1801,-76.9807,99,0
2,ZAF-11212,Cam Cadmar,Tempora adipisci quisquam ipsum magnam.,7,South Africa,Middelburg,-25.7684,29.4783,71,0
2,DEU-13916,Zaria Urania,Aliquam dolore modi tempora eius velit etincidunt.,8,Germany,Langenzenn,49.4944,10.7947,46,0
6,KOR-16773,Cathie Hailee,Tempora neque aliquam quaerat labore non aliquam.,5,"Korea, South",Gwangmyeongni,37.4772,126.8664,73,0
2,MDG-9274,Christal Edvard,Non labore quiquia eius consectetur labore neque.,4,Madagascar,Maintirano,-18.0666,44.0167,52,1
6,DEU-9799,Lita Cyrie,Consectetur amet numquam velit quiquia dolor.,8,Germany,Mainz,50.0,8.2711,36,0
5,USA-9817,Rosaline Keelia,Ut ut non dolorem dolorem aliquam ipsum modi.,7,United States,Twin Rivers,40.263,-74.4917,51,0
3,ROU-4106,Bettine Myrilla,Dolor dolorem etincidunt dolore sed.,5,Romania,Măcin,45.2456,28.1231,40,0
1,USA-19971,Ileana Daveta,Aliquam dolorem ut sit quaerat dolorem eius non.,5,United States,Jacksonville Beach,30.2782,-81.4045,92,0
5,CAN-16892,Binny Santoro,Numquam est numquam dolorem.,6,Canada,Wellington North,43.9,-80.57,70,0
5,TTO-4795,Lisette Erich,Est dolore ipsum velit dolore magnam quisquam est.,9,Trinidad And Tobago,Scarborough,11.1811,-60.7333,99,0
6,PER-13752,Luci Firmin,Sed est adipisci magnam numquam dolorem non est.,5,Peru,Nazca,-14.8289,-74.9436,62,0
6,GBR-10693,Valeda Melony,Dolor ipsum eius sit ut ut dolore.,2,United Kingdom,Bidford-on-Avon,52.1644,-1.8567,34,0
7,ALB-18824,Ardeen Maribeth,Dolor velit quisquam adipisci.,9,Albania,Rrëshen,41.7667,19.8833,74,0
6,USA-7802,Shaine Margarete,Voluptatem dolorem quaerat velit.,7,United States,Glendora,34.1449,-117.8468,69,0
2,GBR-19083,Alie Joli,Velit dolor modi sed dolore.,8,United Kingdom,Newton Abbot,50.529,-3.61,69,0
3,USA-2099,Dyann Levey,Dolor quisquam numquam adipisci labore tempora.,8,United States,Hendersonville,35.3242,-82.4576,31,0
2,AUS-6048,Vevay Abbot,Aliquam non numquam ipsum neque.,7,Australia,Smithton,-40.844,145.12,49,0
4,JPN-8450,Jenilee Vivle,Velit dolore aliquam voluptatem sed consectetur voluptatem.,6,Japan,Kasumigaura,36.1519,140.2372,49,0
6,BRA-14657,Oralee Wu,Tempora magnam tempora neque.,6,Brazil,Mogi das Cruzes,-23.5228,-46.1931,87,0
7,SVN-10447,Julieta Liebermann,Dolorem sed modi labore aliquam ipsum eius sed.,10,Slovenia,Radovljica,46.3444,14.1744,54,0
7,FRA-1359,Emma Gaspard,Dolorem etincidunt voluptatem dolore velit magnam.,6,France,Viry-Châtillon,48.6713,2.375,51,0
3,USA-1167,Kore Reidar,Eius labore quaerat est consectetur tempora.,7,United States,Adrian,41.8994,-84.0446,43,0
5,USA-11117,Mildrid Goode,Dolore dolorem porro neque.,6,United States,Antigo,45.1413,-89.1556,66,0
3,USA-15796,Siana Gahl,Sed quiquia sit labore dolorem adipisci velit porro.,6,United States,Newtown,41.3988,-73.2927,37,0
7,USA-2672,Orelia Leffen,Tempora consectetur voluptatem porro adipisci tempora.,5,United States,Kingston,42.9156,-71.0665,44,0
8,MEX-10339,Marleah Felizio,Adipisci numquam amet quaerat non etincidunt.,8,Mexico,Xicoténcatl,22.9958,-98.9447,77,0
4,CHN-9296,Teddie Nisbet,Adipisci modi amet eius adipisci sit sit.,6,China,Weinan,34.4996,109.4684,19,0
2,CHE-4927,Penelopa Aaberg,Voluptatem adipisci labore porro consectetur numquam porro.,2,Switzerland,Vernier,46.2,6.1,31,0
2,MEX-10127,Allis Peti,Magnam quisquam labore ipsum magnam quiquia.,4,Mexico,Izamal,20.9314,-89.0178,56,1
5,USA-16067,Latisha Cookie,Dolor ipsum sit neque sed velit modi neque.,7,United States,Petal,31.3477,-89.2359,39,0
6,CAN-7900,Kellen Pandolfi,Sit magnam eius dolore amet numquam dolore.,7,Canada,Tiny,44.6833,-79.95,67,0
2,USA-16410,Aryn Kress,Neque adipisci dolore tempora porro.,9,United States,Rocky Point,40.9357,-72.9364,75,0
4,BRA-18313,Carly Malanie,Modi dolorem velit quaerat neque adipisci dolore.,5,Brazil,Paulicéia,-21.3167,-51.8333,49,0
8,USA-15429,Marika Hertzfeld,Porro dolorem est magnam ut.,6,United States,Hamilton,46.2527,-114.1598,18,0
6,IRQ-12805,Neila Even,Est voluptatem eius magnam labore quiquia tempora.,6,Iraq,Az Zubayr,30.3892,47.7081,23,0
1,CHN-18482,Jaime Erb,Modi voluptatem quaerat ut.,9,China,Yuxi,24.3495,102.5432,32,0
6,KAZ-9144,Trixi Wiener,Quaerat quiquia dolorem dolore.,7,Kazakhstan,Rudnyy,52.9527,63.13,88,0
6,CHN-7869,Dorothy Anderea,Numquam sit modi non dolor labore.,5,China,Wuhu,31.334,118.3622,78,0
1,USA-9909,Marcelline Cullin,Aliquam dolore dolore etincidunt aliquam modi velit.,6,United States,Slaton,33.4421,-101.6476,75,0
2,GRL-7624,Magdalena O'Neill,Dolorem ut amet dolore etincidunt modi.,4,Greenland,Paamiut,61.9956,-49.6636,65,0
6,JPN-10792,Eugine Juliet,Sed adipisci quiquia ipsum.,6,Japan,Kunitachi,35.6839,139.4414,49,0
3,RUS-6661,Sheelagh Harriman,Magnam est quaerat quisquam porro.,5,Russia,Gornyak,51.0,81.4667,44,0
4,AUT-5763,Tybie Kaete,Dolorem velit quiquia quaerat.,7,Austria,Ternitz,47.7167,16.0333,88,0
4,DEU-894,Anthia Zenas,Ipsum dolore est velit non amet.,6,Germany,Füssen,47.5667,10.7,86,0
8,COD-7883,Ellette Ailyn,Ut dolore labore quiquia.,5,Congo (Kinshasa),Bandundu,-3.31,17.38,21,1
3,LTU-9158,Dulcinea Denis,Quiquia quisquam neque quisquam.,7,Lithuania,Ukmergė,55.2667,24.75,65,0
6,GBR-1987,Britte Urania,Amet est quaerat neque quisquam aliquam.,5,United Kingdom,Fleet,51.2834,-0.8456,45,0
7,USA-16,Carilyn Gaynor,Eius adipisci quiquia magnam.,6,United States,Damascus,45.4233,-122.4437,93,0
2,KOR-9077,Letizia Saunderson,Quiquia ut sed eius adipisci dolor velit.,5,"Korea, South",Gyeongsan,35.8167,128.7333,19,0
7,BEL-1185,Kimberley Sprage,Neque aliquam modi dolore etincidunt.,7,Belgium,Deinze,50.9833,3.5272,6,0
7,USA-14472,Cherrita Mintz,Quisquam ut quisquam tempora amet.,6,United States,Ives Estates,25.9632,-80.183,70,0
3,USA-18227,Reeba Brodench,Quaerat aliquam amet adipisci modi adipisci tempora quaerat.,7,United States,Mentone,34.0609,-117.1108,62,0
8,ECU-15814,Sallie Greenwald,Quiquia consectetur neque dolore dolorem eius.,6,Ecuador,Manta,-0.95,-80.7162,55,0
5,GBR-11464,Neila Bobbee,Modi quiquia quaerat quaerat.,8,United Kingdom,Great Billing,52.2577,-0.8222,37,0
7,FIN-10844,Laure Bergman,Quisquam sit sit quaerat.,7,Finland,Lahti,60.9833,25.6556,69,0
5,MLI-8575,Vonny Nadia,Quaerat aliquam dolor est porro.,9,Mali,Koutiala,12.3904,-5.47,34,0
3,JPN-16733,Concettina Nelsen,Quaerat labore consectetur consectetur ipsum sed.,6,Japan,Hiji,33.3694,131.5325,12,0
6,POL-10871,Hettie Marden,Amet sit eius dolorem sed consectetur.,5,Poland,Tarnowskie Góry,50.45,18.8667,32,0
6,VEN-13684,Gertrud Autrey,Dolor sit sed aliquam sit amet adipisci sit.,7,Venezuela,Barinas,8.6333,-70.2167,74,0
7,GBR-3903,Yolane Dannye,Eius numquam eius est.,8,United Kingdom,Haywards Heath,51.0048,-0.0979,99,0
6,USA-4677,Aurore Carolin,Quaerat etincidunt dolorem modi quisquam aliquam.,7,United States,Eidson Road,28.6677,-100.4787,8,0
2,USA-18704,Clementine Esmaria,Porro aliquam amet est aliquam sit.,5,United States,Grenada,33.7816,-89.813,31,0
5,ARG-12036,Cecile Bari,Ipsum voluptatem non aliquam eius sed adipisci numquam.,7,Argentina,Cruz del Eje,-30.7333,-64.8,22,0
3,USA-6961,Ekaterina Neils,Aliquam amet dolore neque tempora labore.,8,United States,Springdale,39.2909,-84.476,8,0
2,MUS-7824,Arlena Zaslow,Etincidunt quiquia non sed dolore.,5,Mauritius,Port Mathurin,-19.6833,63.4211,29,0
7,BRA-2945,Tatiania Nance,Sit non quisquam velit ut labore consectetur.,8,Brazil,Cotia,-23.6039,-46.9189,34,0
2,IND-19655,Beatriz Mitzi,Consectetur est ut modi dolorem adipisci dolor porro.,7,India,Bīdar,17.9229,77.5175,8,0
7,CHL-1906,Nadine Peonir,Non numquam voluptatem sed quaerat etincidunt numquam.,4,Chile,Linares,-35.8454,-71.5979,48,0
3,AUS-11515,Tomasina Hashim,Consectetur ut etincidunt quisquam.,5,Australia,Warragul,-38.15,145.9333,22,0
4,DOM-10498,Cissiee Belldas,Aliquam quaerat modi magnam.,7,Dominican Republic,Nagua,19.376,-69.847,12,0
6,ROU-3608,Mellicent Clarissa,Tempora ipsum quaerat sit adipisci quiquia porro quisquam.,3,Romania,Buhuşi,46.715,26.7042,22,1
